Anbudsdag;Likviddag;Förfallodag;Räntesats (%);Erbjuden volym (mdkr);Totalt budbelopp (mdkr);Tilldelad volym (mdkr);Antal bud;Tilldelningsprocent (%);ISIN
2022-05-24;2022-05-25;2022-06-01;0.25;603.0;2818.6;603.0;18;21.394;SE0018014136
2022-05-31;2022-06-01;2022-06-08;0.25;560.0;2548.9;560.0;15;21.97;SE0018041196
2022-06-07;2022-06-08;2022-06-15;0.25;563.0;2770.7;563.0;17;20.32;SE0018042350
2022-06-14;2022-06-15;2022-06-22;0.25;553.0;2826.2;553.0;17;19.567;SE0018168627
2022-06-21;2022-06-22;2022-06-29;0.25;555.0;2900.005;555.0;17;19.138;SE0018220030
2022-06-28;2022-06-29;2022-07-06;0.25;558.0;2987.1;558.0;16;18.68;SE0018245656
2022-07-05;2022-07-06;2022-07-13;0.75;560.0;2721.7;560.0;15;20.575;SE0018271280
2022-07-12;2022-07-13;2022-07-20;0.75;562.0;2917.4;562.0;16;19.264;SE0018396954
2022-07-19;2022-07-20;2022-07-27;0.75;561.0;2826.3;561.0;16;19.849;SE0018397275
2022-07-26;2022-07-27;2022-08-03;0.75;563.0;2768.0;563.0;17;20.34;SE0018397440
2022-08-02;2022-08-03;2022-08-10;0.75;564.0;2882.1;564.0;17;19.569;SE0018397697
2022-08-09;2022-08-10;2022-08-17;0.75;566.0;2901.2;566.0;17;19.509;SE0018408098
2022-08-16;2022-08-17;2022-08-24;0.75;568.0;3010.1;568.0;17;18.87;SE0018534216
2022-08-23;2022-08-24;2022-08-31;0.75;570.0;3070.5;570.0;17;18.564;SE0018535452
2022-08-30;2022-08-31;2022-09-07;0.75;572.0;3178.7;572.0;17;17.995;SE0018536880
2022-09-06;2022-09-07;2022-09-14;0.75;573.0;3105.4;573.0;18;18.452;SE0018537979
2022-09-13;2022-09-14;2022-09-21;0.75;575.0;3191.5;575.0;17;18.017;SE0018689176
2022-09-20;2022-09-21;2022-09-28;1.75;567.0;2940.9;567.0;17;19.28;SE0018690695
2022-09-27;2022-09-28;2022-10-05;1.75;569.0;2898.95;569.0;18;19.628;SE0018741829
2022-10-04;2022-10-05;2022-10-12;1.75;570.0;2925.7;570.0;17;19.483;SE0018767584
2022-10-11;2022-10-12;2022-10-19;1.75;573.0;2985.2;573.0;18;19.195;SE0018768574
2022-10-18;2022-10-19;2022-10-26;1.75;576.0;3039.7;576.0;18;18.949;SE0019019191
2022-10-25;2022-10-26;2022-11-02;1.75;578.0;3017.9;578.0;17;19.152;SE0019070392
2022-11-01;2022-11-02;2022-11-09;1.75;580.0;3019.0;580.0;16;19.212;SE0019071069
2022-11-08;2022-11-09;2022-11-16;1.75;582.0;2933.9;582.0;18;19.837;SE0019071879
2022-11-15;2022-11-16;2022-11-23;1.75;584.0;2898.0;584.0;17;20.152;SE0019172974
2022-11-22;2022-11-23;2022-11-30;1.75;586.0;2985.0;586.0;18;19.631;SE0019174152
2022-11-29;2022-11-30;2022-12-07;2.5;588.0;3035.8;588.0;15;19.369;SE0019175282
2022-12-06;2022-12-07;2022-12-14;2.5;589.0;3050.1;589.0;15;19.311;SE0019176454
2022-12-13;2022-12-14;2022-12-21;2.5;591.0;3014.3;591.0;15;19.607;SE0019352899
2022-12-20;2022-12-21;2022-12-28;2.5;582.0;3030.9;582.0;15;19.202;SE0019353723
2022-12-27;2022-12-28;2023-01-04;2.5;584.0;2547.6;584.0;14;22.924;SE0019354101
2023-01-03;2023-01-04;2023-01-11;2.5;581.0;3033.8;581.0;16;19.151;SE0019354499
2023-01-10;2023-01-11;2023-01-18;2.5;585.0;3198.7;585.0;16;18.289;SE0019375072
2023-01-17;2023-01-18;2023-01-25;2.5;586.0;2921.0;586.0;17;20.062;SE0019761040
2023-01-24;2023-01-25;2023-02-01;2.5;586.0;3128.2;586.0;16;18.733;SE0019762162
2023-01-31;2023-02-01;2023-02-08;2.5;587.0;2929.0;587.0;16;20.041;SE0019763723
2023-02-07;2023-02-08;2023-02-15;2.5;587.0;3158.6;587.0;17;18.584;SE0019764408
2023-02-14;2023-02-15;2023-02-22;3.0;1153.0;945.7;945.7;15;100.0;SE0019890161
2023-02-21;2023-02-22;2023-03-01;3.0;1139.0;917.2;917.2;15;100.0;SE0019891466
2023-02-28;2023-03-01;2023-03-08;3.0;1139.0;952.95;952.95;14;100.0;SE0019913435
2023-03-07;2023-03-08;2023-03-15;3.0;1140.0;1046.8;1046.8;16;100.0;SE0019914466
2023-03-14;2023-03-15;2023-03-22;3.0;1124.0;897.185;897.185;16;100.0;SE0020050367
2023-03-21;2023-03-22;2023-03-29;3.0;1124.0;913.595;913.595;16;100.0;SE0020051316
2023-03-28;2023-03-29;2023-04-05;3.0;1123.0;953.192;953.192;16;100.0;SE0020051845
2023-04-04;2023-04-05;2023-04-12;3.0;1122.0;935.7;935.7;17;100.0;SE0020052579
2023-04-11;2023-04-12;2023-04-19;3.0;1122.0;963.85;963.85;18;100.0;SE0020053437
2023-04-18;2023-04-19;2023-04-26;3.0;1122.0;987.1;987.1;18;100.0;SE0020179505
2023-04-25;2023-04-26;2023-05-03;3.0;1122.0;973.8;973.8;19;100.0;SE0020181139
2023-05-02;2023-05-03;2023-05-10;3.5;1122.0;962.35;962.35;19;100.0;SE0020182269
2023-05-09;2023-05-10;2023-05-17;3.5;1119.0;978.5;978.5;18;100.0;SE0020203032
2023-05-16;2023-05-17;2023-05-24;3.5;1139.0;1009.45;1009.45;19;100.0;SE0020354124
2023-05-23;2023-05-24;2023-05-31;3.5;1139.0;994.75;994.75;19;100.0;SE0020355246
2023-05-30;2023-05-31;2023-06-07;3.5;1121.0;962.875;962.875;18;100.0;SE0020357010
2023-06-05;2023-06-07;2023-06-14;3.5;1120.0;954.375;954.375;18;100.0;SE0020358059
2023-06-13;2023-06-14;2023-06-21;3.5;1119.0;954.736;954.736;18;100.0;SE0020539443
2023-06-20;2023-06-21;2023-06-28;3.5;1110.0;915.9;915.9;19;100.0;SE0020540581
2023-06-27;2023-06-28;2023-07-05;3.5;1110.0;942.6;942.6;19;100.0;SE0020541084
2023-07-04;2023-07-05;2023-07-12;3.75;1113.0;973.45;973.45;20;100.0;SE0020551901
2023-07-11;2023-07-12;2023-07-19;3.75;1114.0;987.75;987.75;19;100.0;SE0020552594
2023-07-18;2023-07-19;2023-07-26;3.75;1116.0;957.66;957.66;18;100.0;SE0020677912
2023-07-25;2023-07-26;2023-08-02;3.75;1117.0;950.0;950.0;20;100.0;SE0020678407
2023-08-01;2023-08-02;2023-08-09;3.75;1118.0;976.7;976.7;21;100.0;SE0020678514
2023-08-15;2023-08-16;2023-08-23;3.75;1121.0;1024.51;1024.51;21;100.0;SE0020844629
2023-08-22;2023-08-23;2023-08-30;3.75;1122.0;936.19;936.19;20;100.0;SE0020845840
2023-08-29;2023-08-30;2023-09-06;3.75;1122.0;972.77;972.77;21;100.0;SE0020847028
2023-09-05;2023-09-06;2023-09-13;3.75;1121.0;994.4;994.4;21;100.0;SE0020848125
2023-09-12;2023-09-13;2023-09-20;3.75;1121.0;975.452;975.452;20;100.0;SE0020849735
2023-09-19;2023-09-20;2023-09-27;3.75;1095.0;949.2;949.2;17;100.0;SE0020975779
2023-09-26;2023-09-27;2023-10-04;4.0;1095.0;1020.8;1020.8;19;100.0;SE0020996932
2023-10-03;2023-10-04;2023-10-11;4.0;1094.0;979.9;979.9;20;100.0;SE0020997724
2023-10-10;2023-10-11;2023-10-18;4.0;1095.0;948.4;948.4;19;100.0;SE0020998557
2023-10-17;2023-10-18;2023-10-25;4.0;1094.0;995.35;995.35;19;100.0;SE0020999340
2023-10-24;2023-10-25;2023-11-01;4.0;1094.0;924.65;924.65;19;100.0;SE0020999985
2023-10-31;2023-11-01;2023-11-08;4.0;1093.0;940.4;940.4;18;100.0;SE0021020666
2023-11-07;2023-11-08;2023-11-15;4.0;1020.0;922.45;922.45;19;100.0;SE0021021433
2023-11-14;2023-11-15;2023-11-22;4.0;1019.0;832.4;832.4;18;100.0;SE0021147352
2023-11-21;2023-11-22;2023-11-29;4.0;1020.0;902.85;902.85;19;100.0;SE0021148517
2023-11-28;2023-11-29;2023-12-06;4.0;1017.0;923.6;923.6;19;100.0;SE0021149754
2023-12-05;2023-12-06;2023-12-13;4.0;1017.0;900.15;900.15;18;100.0;SE0021150919
2023-12-12;2023-12-13;2023-12-20;4.0;1015.0;920.35;920.35;16;100.0;SE0021181765
2023-12-19;2023-12-20;2024-01-03;4.0;990.0;740.9;740.9;17;100.0;SE0021308806
2024-01-02;2024-01-03;2024-01-10;4.0;992.0;846.3;846.3;18;100.0;SE0021309788
2024-01-09;2024-01-10;2024-01-17;4.0;992.0;869.8;869.8;19;100.0;SE0021310539
2024-01-16;2024-01-17;2024-01-24;4.0;992.0;886.95;886.95;17;100.0;SE0021486404
2024-01-23;2024-01-24;2024-01-31;4.0;991.0;947.2;947.2;20;100.0;SE0021512332
2024-01-30;2024-01-31;2024-02-07;4.0;991.0;852.35;852.35;17;100.0;SE0021514262
2024-02-06;2024-02-07;2024-02-14;4.0;989.0;842.25;842.25;19;100.0;SE0021514957
2024-02-13;2024-02-14;2024-02-21;4.0;989.0;802.5;802.5;19;100.0;SE0021625886
2024-02-20;2024-02-21;2024-02-28;4.0;986.0;877.85;877.85;19;100.0;SE0021627064
2024-02-27;2024-02-28;2024-03-06;4.0;967.0;791.15;791.15;19;100.0;SE0021628328
2024-03-05;2024-03-06;2024-03-13;4.0;962.0;831.15;831.15;19;100.0;SE0021629482
2024-03-12;2024-03-13;2024-03-20;4.0;958.0;837.101;837.101;20;100.0;SE0021770641
2024-03-19;2024-03-20;2024-03-27;4.0;956.0;797.55;797.55;20;100.0;SE0021921368
2024-03-26;2024-03-27;2024-04-03;4.0;955.0;755.2;755.2;19;100.0;SE0021922382
2024-04-02;2024-04-03;2024-04-10;4.0;951.0;853.0;853.0;20;100.0;SE0021922796
2024-04-09;2024-04-10;2024-04-17;4.0;952.0;820.3;820.3;20;100.0;SE0021923893
2024-04-16;2024-04-17;2024-04-24;4.0;949.0;785.9;785.9;20;100.0;SE0022050019
2024-04-23;2024-04-24;2024-05-08;4.0;946.0;789.1;789.1;20;100.0;SE0022060919
2024-05-07;2024-05-08;2024-05-15;4.0;947.0;818.0;818.0;20;100.0;SE0022088068
2024-05-14;2024-05-15;2024-05-22;3.75;944.0;771.35;771.35;20;100.0;SE0022239158
2024-05-21;2024-05-22;2024-05-29;3.75;945.0;792.4;792.4;19;100.0;SE0022240503
2024-05-28;2024-05-29;2024-06-05;3.75;950.0;798.95;798.95;20;100.0;SE0022241774
2024-06-04;2024-06-05;2024-06-12;3.75;949.5;860.5;860.5;21;100.0;SE0022242657
2024-06-11;2024-06-12;2024-06-19;3.75;940.0;790.95;790.95;20;100.0;SE0022243655
2024-06-18;2024-06-19;2024-06-26;3.75;937.0;801.8;801.8;19;100.0;SE0022419818
2024-06-25;2024-06-26;2024-07-03;3.75;932.0;748.6;748.6;20;100.0;SE0022421210
2024-07-02;2024-07-03;2024-07-10;3.75;939.0;819.55;819.55;20;100.0;SE0022447215
2024-07-09;2024-07-10;2024-07-17;3.75;935.0;828.4;828.4;20;100.0;SE0022448676
2024-07-16;2024-07-17;2024-07-24;3.75;936.0;751.9;751.9;19;100.0;SE0022574216
2024-07-23;2024-07-24;2024-07-31;3.75;941.0;843.45;843.45;19;100.0;SE0022574737
2024-07-30;2024-07-31;2024-08-07;3.75;935.0;825.6;825.6;19;100.0;SE0022574950
2024-08-06;2024-08-07;2024-08-14;3.75;937.0;774.1;774.1;19;100.0;SE0022600086
2024-08-13;2024-08-14;2024-08-21;3.75;939.0;845.4;845.4;20;100.0;SE0022725628
2024-08-20;2024-08-21;2024-08-28;3.5;942.0;779.7;779.7;20;100.0;SE0022726352
2024-08-27;2024-08-28;2024-09-04;3.5;942.0;780.35;780.35;19;100.0;SE0022757621
